DeviceID 42
"Date and Time	Sequence number	FM Radio	TV	Mobile 800 MHz Downlink	Mobile 800 MHz Uplink	Mobile 900 MHz Uplink	Mobile 900 MHz Downlink	Mobile 1.8 GHz Uplink	Mobile 1.8 GHz Downlink	DECT	Mobile 2.1 GHz Uplink	Mobile 2.1 GHz Downlink	ISM 2.4 GHz	Mobile 2.6 GHz Uplink	Mobile 2.6 GHz Downlink	Mobile 3.5 GHz	WiFi 5 GHz	Total	Overload	GPS Fix	GPS Lat	GPS Lon	GPS Altitude	GPS HDOP	GPS# Satellites	GPS Speed	Marker	Battery charge	USB cable"
"06/30/2017 09:07:44	   1	0.0125	0.0013	0.0043	0.0015	0.0015	0.0016	0.0016	0.0383	0.0160	0.0013	0.0014	0.0081	0.0012	0.0011	0.0013	0.0000	0.0446	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:07:48	   2	0.0113	0.0014	0.0059	0.0016	0.0015	0.0016	0.0016	0.0264	0.0538	0.0013	0.0013	0.0078	0.0013	0.0011	0.0013	0.0212	0.0655	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:07:52	   3	0.0114	0.0015	0.0016	0.0016	0.0015	0.0016	0.0016	0.0175	0.0145	0.0012	0.0014	0.0125	0.0011	0.0011	0.0013	0.0000	0.0287	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:07:56	   4	0.0120	0.0028	0.0016	0.0076	0.0015	0.0015	0.0017	0.0102	0.0192	0.0013	0.0013	0.0053	0.0009	0.0011	0.0013	0.0000	0.0270	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:08:00	   5	0.0120	0.0016	0.0016	0.0075	0.0015	0.0015	0.0019	0.0119	0.0130	0.0013	0.0013	0.0094	0.0011	0.0011	0.0013	0.0000	0.0249	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:08:04	   6	0.0131	0.0016	0.0039	0.0073	0.0015	0.0015	0.0016	0.0189	0.0275	0.0013	0.0014	0.0089	0.0013	0.0011	0.0013	0.0000	0.0381	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:08:08	   7	0.0122	0.0016	0.0016	0.0103	0.0015	0.0015	0.0019	0.0146	0.0125	0.0014	0.0014	0.0334	0.0012	0.0011	0.0013	0.0000	0.0420	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:08:12	   8	0.0116	0.0018	0.0016	0.0095	0.0015	0.0022	0.0018	0.0377	0.0305	0.0013	0.0014	0.0087	0.0013	0.0011	0.0013	0.0000	0.0517	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:08:16	   9	0.0109	0.0023	0.0016	0.0109	0.0015	0.0016	0.0020	0.0324	0.0537	0.0013	0.0014	0.0101	0.0013	0.0011	0.0013	0.0000	0.0655	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:08:20	  10	0.0128	0.0015	0.0016	0.0018	0.0015	0.0016	0.0024	0.0145	0.0107	0.0014	0.0013	0.0083	0.0010	0.0011	0.0013	0.0000	0.0242	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
